bin,n,mean_predicted,mean_true_ite
1,1199,-0.05969491678140816,-0.21684737281067556
2,1199,-0.04262005801528584,-0.06755629691409508
3,1199,-0.036020110340849607,-0.03753127606338615
4,1199,-0.03132077493827771,-0.019182652210175146
5,1198,-0.027318991778244043,-0.00667779632721202
6,1198,-0.023572317754444277,-0.009181969949916527
7,1198,-0.019515469216981888,-0.004173622704507512
8,1198,-0.014580132029001021,0.009181969949916527
9,1198,-0.0067774105940787395,0.02337228714524207
10,1198,0.019968056281841756,0.07679465776293823
