feature,importance
gestat10,0.20718847588511632
mplbir,0.09879016350749721
birmon,0.0851660115966464
stoccfipb,0.0577360481545277
mpre5,0.04661929614811202
brstate,0.046088296668445244
mplbir_reg,0.041730365965652244
mager8,0.041001082517276216
dfageq,0.03724002211415161
data_year,0.033861613717607646
dlivord_min,0.032234508508420814
dtotord_min,0.03142873067115727
meduc6,0.02874623007014474
stoccfipb_reg,0.02577933324570936
feduc6,0.02449578198471733
brstate_reg,0.024403426805952717
nprevistq,0.019043319562119864
csex,0.013908886465318012
dmar,0.013522497947265082
othermr,0.012923566589622832
adequacy,0.011674864442389328
crace,0.009272611381882198
frace,0.008956273340514569
bord_0,0.00852025645187831
cigar6,0.007939834318968525
ormoth,0.007499450009043746
mrace,0.006758487282874271
bord_1,0.00629560796233707
tobacco,0.004754653359371767
orfath,0.004324370408274377
hydra,0.0013621180194320333
preterm,0.000512358057156636
alcohol,0.00011644795754886769
phyper,0.0001043386293702534
drink5,6.702534974337123e-07
uterine,0.0
rh,0.0
renal,0.0
pre4000,0.0
incervix,0.0
eclamp,0.0
birattnd,0.0
chyper,0.0
hemo,0.0
herpes,0.0
diabetes,0.0
lung,0.0
cardiac,0.0
anemia,0.0
pldel,0.0
